Codigo;Nombre;Referencia;Categoria;Descripcion;Partida arancelaria;Marca;Modelo;Nombre impuesto;Porcentaje impuesto;Tipo impuesto;Cuenta de ingresos;Cuenta de inventario;Cuenta de costo de venta;Unidad de medida;Codigo del producto o servicio;Venta en negativo;Precio: General;Costo unitario;Cantidad inicial en bodega: Principal;Cantidad minima en bodega: Principal;Cantidad maxima en bodega: Principal;Codigo de barras;FAMILIA;GARANTIA;GAMA;FECHA DE INGRESO (dd/mm/yyyy);PROVEEDOR;NUEVO;Mostrar item en tienda;Archivo_Origen;cantidad_actual
1;DIADEMA INALAMBRICA SF880;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;45000,000000;45000,000000;2.0;0.0;0.0;6941707133483;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;;Si;Plantilla items - 2026-01-20 - 1.xlsx;
2;CABLE MICKEY;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;8.0;0.0;0.0;2086;CABLES;30 DIAS;MEDIA;07/11/2022;ALBERTO ABS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
3;DISPENSADOR DE JABON;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;75000,000000;50000,000000;2.0;0.0;0.0;2020042600509;SIN FAMILIA;30 DIAS;MEDIA;07/11/2022;DISTRIMOVIL;;Si;Plantilla items - 2026-01-20 - 1.xlsx;
4;CABLE TREBOL;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;9.0;0.0;0.0;1176400;CABLES;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
5;CABLE DE GRABADORA 1.8 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;5.0;0.0;0.0;11763;CABLES ENERGIA;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
6;COMBO GAMER WESDASR KM12;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;180000,000000;130000,000000;2.0;0.0;0.0;6971071749751;GAMING;30 DIAS;ALTA;07/11/2022;HAVIT;;Si;Plantilla items - 2026-01-20 - 1.xlsx;
7;CABLE GRABADORA;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;8.0;0.0;0.0;2000;CABLES ENERGIA;30 DIAS;MEDIA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
8;COMBO GAMER KM18;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;120000,000000;79400,000000;2.0;0.0;0.0;11805;GAMING;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
9;COMBO GAMER GM054 TECHMADE;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;150000,000000;99000,000000;2.0;0.0;0.0;8099990141925;GAMING;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
10;COMBO GAMER JR012;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;200000,000000;147000,000000;1.0;0.0;0.0;5738057500123;GAMING;30 DIAS;ALTA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
